title,score,concept,ShownAT,ImageURL
['Caravaggio. De luitspeelster'],17.381336,"['Portraiture', 'Education', 'Slides', 'Portrait', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112136&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112136&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222870%2Fstream&type=IMAGE']
['Caravaggio. Bacchus'],17.381336,"['Education', 'Slides', 'History painting', 'Mythology', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112122&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112122&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222854%2Fstream&type=IMAGE']
['Caravaggio. David met het hoofd van Goliath'],17.381336,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112124&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112124&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222858%2Fstream&type=IMAGE']
"['Caravaggio. Madonna dei Palafrenieri', 'Madonna met de slang']",17.381336,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112147&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112147&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222878%2Fstream&type=IMAGE']
"['Caravaggio. Zegevierende Cupido', 'Amor vincit omnia']",17.381336,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009119137&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009119137&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2223450%2Fstream&type=IMAGE']
['Caravaggio. Rust op de vlucht naar Egypte'],17.381336,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112140&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112140&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222874%2Fstream&type=IMAGE']
['Caravaggio. De graflegging van Christus'],17.381336,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009118636&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009118636&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2223342%2Fstream&type=IMAGE']
['Caravaggio. Bekering van Sint-Paulus'],17.154642,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112151&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112151&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222886%2Fstream&type=IMAGE']
['Caravaggio. Madonna di Loreto'],17.154642,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112149&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112149&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222882%2Fstream&type=IMAGE']
['Caravaggio. De graflegging van Christus'],17.154642,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112155&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112155&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222890%2Fstream&type=IMAGE']
